RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,300,Greedy,1,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1185526847839355
26,30,158,300,GRASP,6,True,"[9, 117, 89, 104, 25, 144, 152, 51, 9]",80,4847.648,297.61742782152226,2.3825721784777443,8,100.0,0.0819966793060302
30,30,158,300,Greedy,7,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1021351814270019
32,30,158,300,Enfriamiento Simulado,7,True,"[9, 144, 102, 89, 152, 117, 104, 53, 9]",80,4838.743999999999,296.73062992125983,3.2693700787401667,8,100.0,0.2430005073547363
35,30,158,300,Greedy,8,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1051020622253418
40,30,158,300,Greedy,9,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1064276695251464
45,30,158,300,Greedy,10,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1020581722259521
51,30,158,300,GRASP,11,True,"[9, 117, 152, 121, 89, 53, 104, 25, 9]",80,3975.286,279.1691076115485,20.83089238845145,8,100.0,0.0841603279113769
52,30,158,300,Enfriamiento Simulado,11,True,"[9, 117, 144, 89, 152, 121, 104, 25, 9]",80,4040.465,292.25452755905513,7.745472440944866,8,100.0,0.2413945198059082
55,30,158,300,Greedy,12,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1044983863830566
57,30,158,300,Enfriamiento Simulado,12,True,"[9, 117, 121, 89, 152, 53, 104, 25, 9]",80,4254.808000000001,293.0674278215223,6.932572178477699,8,100.0,0.2380526065826416
60,30,158,300,Greedy,13,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1024737358093261
65,30,158,300,Greedy,14,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1107337474822998
66,30,158,300,GRASP,14,True,"[9, 117, 89, 53, 104, 121, 102, 152, 9]",80,5047.592,280.24136482939633,19.758635170603668,8,100.0,0.0828490257263183
67,30,158,300,Enfriamiento Simulado,14,True,"[9, 117, 144, 89, 152, 102, 104, 53, 9]",80,4199.828,288.34590551181105,11.654094488188946,8,100.0,0.2371668815612793
70,30,158,300,Greedy,15,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1017932891845703
72,30,158,300,Enfriamiento Simulado,15,True,"[9, 117, 102, 89, 152, 53, 104, 144, 9]",80,4702.941999999999,294.9484514435695,5.051548556430475,8,100.0,0.244354248046875
75,30,158,300,Greedy,16,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1049745082855224
77,30,158,300,Enfriamiento Simulado,16,True,"[9, 117, 144, 89, 152, 53, 104, 121, 9]",80,3616.033,289.68455380577427,10.315446194225729,8,100.0,0.2770242691040039
80,30,158,300,Greedy,17,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1029186248779296
85,30,158,300,Greedy,18,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1049103736877441
87,30,158,300,Enfriamiento Simulado,18,True,"[9, 117, 121, 89, 152, 53, 104, 25, 9]",80,4254.808000000001,293.0674278215223,6.932572178477699,8,100.0,0.2392117977142334
90,30,158,300,Greedy,19,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.103360891342163
92,30,158,300,Enfriamiento Simulado,19,True,"[9, 117, 144, 89, 152, 102, 53, 121, 9]",80,5414.541,298.89265091863524,1.1073490813647595,8,100.0,0.2381284236907959
95,30,158,300,Greedy,20,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1012208461761474
27,30,158,300,Enfriamiento Simulado,6,True,"[9, 117, 102, 89, 152, 53, 104, 25, 9]",80,5173.953999999999,296.1297112860892,3.8702887139107816,8,100.0,0.2322390079498291
50,30,158,300,Greedy,11,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1002757549285888
25,30,158,300,Greedy,6,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.103403091430664
22,30,158,300,Enfriamiento Simulado,5,True,"[9, 117, 121, 89, 152, 144, 104, 53, 9]",80,3919.598000000001,293.6683464566929,6.331653543307084,8,100.0,0.2435803413391113
12,30,158,300,Enfriamiento Simulado,3,True,"[9, 117, 144, 89, 152, 53, 102, 121, 9]",80,4517.585000000001,298.56723097112865,1.4327690288713484,8,100.0,0.2379350662231445
17,30,158,300,Enfriamiento Simulado,4,True,"[9, 117, 102, 89, 152, 53, 104, 144, 9]",80,4702.941999999999,294.9484514435695,5.051548556430475,8,100.0,0.2380194664001464
10,30,158,300,Greedy,3,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1028473377227783
15,30,158,300,Greedy,4,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1015200614929199
7,30,158,300,Enfriamiento Simulado,2,True,"[9, 117, 144, 89, 152, 25, 104, 121, 9]",80,4084.097,292.827125984252,7.172874015747993,8,100.0,0.2327384948730468
5,30,158,300,Greedy,2,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1108126640319824
2,30,158,300,Enfriamiento Simulado,1,True,"[9, 117, 102, 89, 152, 53, 104, 25, 9]",80,5173.953999999999,296.1297112860892,3.8702887139107816,8,100.0,0.2752799987792969
20,30,158,300,Greedy,5,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.05,267.66732283464563,32.33267716535437,8,100.0,0.1106777191162109
6,30,158,300,GRASP,2,True,"[9, 128, 104, 53, 152, 144, 117, 89, 9]",79,3798.726,276.8520472440945,23.14795275590552,8,98.75,0.0811033248901367
62,30,158,300,Enfriamiento Simulado,13,True,"[9, 117, 144, 89, 152, 109, 104, 121, 9]",79,4457.382,292.72587926509186,7.274120734908138,8,98.75,0.2423663139343261
37,30,158,300,Enfriamiento Simulado,8,True,"[9, 117, 144, 89, 51, 121, 109, 104, 9]",79,4359.037,297.2974934383202,2.7025065616797974,8,98.75,0.246645450592041
59,30,158,300,Algoritmo Memetico,12,True,"[9, 152, 21, 104, 25, 89, 144, 117, 9]",79,2420.4170000000004,283.7640026246719,16.23599737532811,8,98.75,360.5884816646576
42,30,158,300,Enfriamiento Simulado,9,True,"[9, 144, 53, 117, 152, 21, 104, 25, 9]",79,3482.923,297.93770341207346,2.06229658792654,8,98.75,0.2567226886749267
47,30,158,300,Enfriamiento Simulado,10,True,"[9, 117, 144, 89, 152, 53, 138, 51, 9]",79,3969.897000000001,290.6966797900263,9.30332020997372,8,98.75,0.2462661266326904
97,30,158,300,Enfriamiento Simulado,20,True,"[9, 117, 144, 104, 152, 53, 138, 89, 9]",79,4291.267000000001,291.91413385826775,8.085866141732254,8,98.75,0.2401747703552246
1,30,158,300,GRASP,1,True,"[9, 121, 100, 102, 144, 89, 53, 21, 9]",78,5118.925999999999,296.17750656167976,3.8224934383202367,8,97.5,0.092862844467163
61,30,158,300,GRASP,13,True,"[9, 117, 89, 104, 138, 121, 51, 100, 9]",78,4132.151000000001,268.2277034120735,31.77229658792652,8,97.5,0.0827777385711669
16,30,158,300,GRASP,4,True,"[9, 128, 25, 104, 53, 21, 117, 89, 9]",78,4482.528,283.8258267716535,16.17417322834649,8,97.5,0.0810997486114502
11,30,158,300,GRASP,3,True,"[9, 117, 53, 102, 7, 152, 51, 109, 9]",78,5987.234,293.572624671916,6.427375328083997,8,97.5,0.0917050838470459
71,30,158,300,GRASP,15,True,"[9, 138, 109, 89, 144, 152, 121, 70, 9]",78,5509.6720000000005,289.305406824147,10.694593175853017,8,97.5,0.0828073024749755
76,30,158,300,GRASP,16,True,"[9, 144, 117, 100, 121, 152, 89, 109, 9]",78,3621.202,265.52233595800527,34.47766404199473,8,97.5,0.0822412967681884
82,30,158,300,Enfriamiento Simulado,17,True,"[9, 117, 144, 89, 152, 104, 94, 17, 9]",78,5835.892,298.4744619422572,1.5255380577427786,8,97.5,0.2375707626342773
91,30,158,300,GRASP,19,True,"[9, 53, 102, 70, 51, 121, 138, 7, 9]",78,6085.109000000001,294.85707349081366,5.1429265091863385,8,97.5,0.0853583812713623
21,30,158,300,GRASP,5,True,"[9, 53, 104, 21, 152, 144, 109, 138, 9]",77,3669.445,287.1554461942257,12.844553805774297,8,96.25,0.0822417736053466
63,30,158,300,Algoritmo Genetico Estacionario,13,True,"[9, 53, 109, 89, 117, 121, 29, 47, 9]",73,4236.3640000000005,292.5953280839895,7.4046719160105,8,91.25,21.69340753555298
86,30,158,300,GRASP,18,True,"[9, 53, 104, 25, 117, 102, 121, 9]",70,5662.859,273.31573490813645,26.68426509186355,7,100.0,0.0705208778381347
28,30,158,300,Algoritmo Genetico Estacionario,6,True,"[9, 89, 117, 29, 128, 47, 122, 21, 9]",70,5776.846,291.8116272965879,8.188372703412085,8,87.5,18.99829339981079
79,30,158,300,Algoritmo Memetico,16,True,"[9, 100, 102, 104, 53, 89, 144, 9]",69,4694.847,287.61216535433067,12.38783464566933,7,98.57142857142858,351.97196769714355
36,30,158,300,GRASP,8,True,"[9, 149, 17, 121, 89, 117, 144, 9]",69,4279.760000000001,262.16482939632544,37.83517060367456,7,98.57142857142858,0.0705227851867675
94,30,158,300,Algoritmo Memetico,19,True,"[9, 152, 102, 21, 104, 89, 144, 9]",69,3920.568,269.4510236220473,30.548976377952727,7,98.57142857142858,346.8804512023926
31,30,158,300,GRASP,7,True,"[9, 89, 53, 152, 109, 121, 17, 9]",69,4953.642000000001,267.00842519685034,32.99157480314966,7,98.57142857142858,0.0679755210876464
4,30,158,300,Algoritmo Memetico,1,True,"[9, 152, 102, 49, 53, 89, 144, 9]",69,3769.073999999999,270.4629133858268,29.537086614173237,7,98.57142857142858,354.99796438217163
46,30,158,300,GRASP,10,True,"[9, 89, 25, 104, 21, 121, 51, 9]",69,4739.763000000001,269.20161417322834,30.798385826771664,7,98.57142857142858,0.0711419582366943
64,30,158,300,Algoritmo Memetico,13,True,"[9, 152, 121, 21, 53, 117, 144, 9]",69,2989.313000000001,269.22982939632544,30.77017060367456,7,98.57142857142858,358.13103008270264
41,30,158,300,GRASP,9,True,"[9, 102, 21, 25, 117, 121, 152, 9]",69,6287.898,267.5183464566929,32.48165354330712,7,98.57142857142858,0.0692603588104248
89,30,158,300,Algoritmo Memetico,18,True,"[9, 45, 53, 104, 89, 117, 144, 9]",69,2924.556,259.38,40.620000000000005,7,98.57142857142858,317.3657581806183
74,30,158,300,Algoritmo Memetico,15,True,"[9, 109, 152, 138, 53, 89, 144, 9]",68,3489.9170000000004,270.799435695538,29.200564304461977,7,97.14285714285714,365.7358453273773
39,30,158,300,Algoritmo Memetico,8,True,"[9, 149, 123, 104, 53, 89, 152, 9]",68,5321.305,292.8333989501312,7.166601049868802,7,97.14285714285714,305.73754382133484
81,30,158,300,GRASP,17,True,"[9, 53, 152, 121, 109, 102, 123, 9]",68,5982.438,266.5096850393701,33.49031496062992,7,97.14285714285714,0.0743918418884277
54,30,158,300,Algoritmo Memetico,11,True,"[9, 53, 102, 138, 109, 152, 89, 9]",68,4530.545999999999,266.45598425196846,33.54401574803154,7,97.14285714285714,273.0573301315308
13,30,158,300,Algoritmo Genetico Estacionario,3,True,"[9, 138, 152, 109, 121, 89, 104, 9]",68,4786.804,273.8189501312336,26.181049868766426,7,97.14285714285714,20.855446338653564
96,30,158,300,GRASP,20,True,"[9, 89, 51, 100, 121, 102, 109, 9]",68,5009.933,253.74715223097112,46.25284776902888,7,97.14285714285714,0.069368839263916
14,30,158,300,Algoritmo Memetico,3,True,"[9, 117, 53, 100, 149, 121, 152, 9]",68,3725.769,272.8946062992126,27.10539370078737,7,97.14285714285714,354.3106653690338
84,30,158,300,Algoritmo Memetico,17,True,"[9, 140, 17, 51, 138, 109, 152, 9]",67,4833.777,284.4353937007874,15.564606299212585,7,95.71428571428572,321.8170235157013
